Team Name, Player Name, Status
Alex,Ryan Rollins,
Alex,Derrick White,
Alex,Paul George,
Alex,Dillon Brooks,
Alex,Michael Porter Jr.,
Alex,Moses Moody,DROP
Alex,Pascal Siakam,
Alex,Zach Edey,
Alex,Ryan Kalkbrenner,
Alex,Domantas Sabonis,
Alex,Joel Embiid,
Alex,Daniel Gafford,DROP
Alex,Kristaps Porzingis,
Alex,Kyrie Irving,INJ
Alex,Trae Young,INJ
Jenny,LaMelo Ball,
Jenny,Dennis Schroder,DROP
Jenny,Tyrese Maxey,
Jenny,Norman Powell,
Jenny,Kawhi Leonard,
Jenny,De'Andre Hunter,
Jenny,Draymond Green,
Jenny,Julius Randle,
Jenny,Jalen Duren,
Jenny,Austin Reaves,
Jenny,Aaron Nesmith,DROP
Jenny,Matas Buzelis,
Jenny,Santi Aldama,
Jenny,Jalen Williams,INJ
Jenny,Anthony Davis,INJ
Edmund,Luka Doncic,
Edmund,Trey Murphy III,
Edmund,Devin Vassell,
Edmund,Toumani Camara,
Edmund,Kyshawn George,
Edmund,Nikola Vucevic,
Edmund,Deandre Ayton,
Edmund,John Collins,
Edmund,Brandon Williams,DROP
Edmund,Josh Giddey,
Edmund,Andrew Nembhard,
Edmund,Scottie Barnes,
Edmund,Cedric Coward,DROP
Edmund,Jordan Poole,INJ
Edmund,Jalen Green,INJ
Casper,Donte DiVincenzo,
Casper,Anthony Edwards,
Casper,James Harden,
Casper,OG Anunoby,
Casper,Jabari Smith Jr.,
Casper,Nickeil Alexander-Walker,
Casper,Myles Turner,
Casper,Derik Queen,DROP
Casper,Kon Knueppel,
Casper,Jalen Johnson,
Casper,Anfernee Simons,
Casper,Tre Jones,DROP
Casper,Onyeka Okongwu,
Casper,Brandon Miller,INJ
Casper,Bam Adebayo,INJ
Alec,Jalen Brunson,
Alec,Stephon Castle,
Alec,Zach LaVine,
Alec,Jimmy Butler III,
Alec,Jerami Grant,
Alec,Dyson Daniels,
Alec,Alperen Sengun,
Alec,Donovan Clingan,
Alec,Russell Westbrook,
Alec,Nikola Jokic,
Alec,Immanuel Quickley,
Alec,Lauri Markkanen,
Alec,Ace Bailey,DROP
Alec,Christian Braun,INJ
David,Shai Gilgeous-Alexander,
David,Jamal Murray,
David,Jalen Suggs,
David,Desmond Bane,
David,Jaren Jackson Jr.,
David,Aaron Gordon,
David,Mark Williams,
David,Naz Reid,
David,Reed Sheppard,DROP
David,Tari Eason,DROP
David,Kevin Durant,
David,Herbert Jones,
David,P.J. Washington,
David,Coby White,INJ
David,Cam Thomas,INJ
Simon,Devin Booker,
Simon,Jaylen Brown,
Simon,Brandon Ingram,
Simon,Deni Avdija,
Simon,RJ Barrett,
Simon,Paolo Banchero,
Simon,Ivica Zubac,
Simon,Kel'el Ware,
Simon,Ausar Thompson,
Simon,Karl-Anthony Towns,
Simon,Darius Garland,
Simon,Bennedict Mathurin,
Simon,Jakob Poeltl,
Ian,Amen Thompson,
Ian,Andrew Wiggins,
Ian,Quentin Grimes,DROP
Ian,Josh Hart,
Ian,Franz Wagner,
Ian,Kelly Oubre Jr.,
Ian,Jarrett Allen,
Ian,Alex Sarr,
Ian,Victor Wembanyama,
Ian,De'Aaron Fox,
Ian,Keyonte George,
Ian,Ajay Mitchell,
Ian,Evan Mobley,
Ian,Tyler Herro,INJ
Drodge,Jrue Holiday,
Drodge,Jaime Jaquez Jr.,
Drodge,Stephen Curry,
Drodge,DeMar DeRozan,
Drodge,Mikal Bridges,
Drodge,Cooper Flagg,
Drodge,Rudy Gobert,
Drodge,Nic Claxton,
Drodge,Cade Cunningham,
Drodge,CJ McCollum,
Drodge,Grayson Allen,
Drodge,Royce O'Neale,DROP
Drodge,Cason Wallace,DROP
Drodge,Lebron James,INJ
Drodge,Dereck Lively II,INJ
Ben,Brandin Podziemski,
Ben,Shaedon Sharpe,
Ben,Payton Pritchard,
Ben,Miles Bridges,
Ben,Giannis Antetokounmpo,
Ben,Jaden McDaniels,
Ben,Isaiah Hartenstein,
Ben,Zion Williamson,
Ben,VJ Edgecombe,
Ben,Donovan Mitchell,
Ben,Ja Morant,
Ben,Chet Holmgren,
Ben,Jusuf Nurkic,
